src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,chpriority_queue,ch_distance,cch_time_ms,cch_priority_queue,cch_distance,identical
33124,40146,337,47265,514,2,147,514,2,168,514,true,
1928,5025,75,10674,135,2,76,135,2,108,135,true,
13475,11478,147,20513,250,2,69,250,2,121,250,true,
43085,10713,28,4591,252,2,75,252,2,129,252,true,
34325,16479,248,35498,435,2,101,435,2,201,435,true,
29952,10731,38,5938,128,1,61,128,1,77,128,true,
23957,41991,266,35305,389,2,97,389,3,128,389,true,
12863,42018,166,17598,192,2,63,192,2,102,192,true,
12330,27714,122,13444,210,2,85,210,2,119,210,true,
2363,43038,279,34364,278,2,94,278,2,154,278,true,
22294,7788,228,32543,334,1,80,334,2,125,334,true,
21370,47844,197,28417,336,2,104,336,2,154,336,true,
22213,44306,329,45452,469,2,99,469,2,141,469,true,
47638,12737,259,36781,413,2,120,413,2,171,413,true,
23578,9455,220,31640,351,2,97,351,2,113,351,true,
32774,19380,96,14544,239,1,80,239,2,123,239,true,
24015,33348,25,4152,122,1,62,122,1,84,122,true,
7539,42916,348,47869,395,1,76,395,2,180,395,true,
22233,42521,322,44893,465,2,103,465,2,133,465,true,
30662,11300,45,7253,151,1,73,151,1,98,151,true,
47947,43111,347,49065,524,2,138,524,2,137,524,true,
16632,23043,109,16441,214,1,77,214,2,114,214,true,
13174,38483,307,42527,395,2,113,395,2,183,395,true,
32947,5674,229,33223,386,2,128,386,2,157,386,true,
48872,1328,123,18221,287,1,81,287,2,138,287,true,
11161,26350,334,46266,403,2,116,403,2,133,403,true,
1180,26088,208,29051,239,1,81,239,2,129,239,true,
44245,6833,74,11591,253,1,87,253,2,128,253,true,
37005,43502,348,48760,540,2,101,540,2,172,540,true,
11876,47012,349,49463,407,1,61,407,2,136,407,true,
15244,40165,279,37977,373,2,134,373,2,154,373,true,
39367,28588,156,22840,390,2,107,390,2,127,390,true,
41127,38182,303,42960,473,2,116,473,2,142,473,true,
7437,48719,135,19924,187,2,62,187,2,104,187,true,
26604,2284,177,25831,323,2,110,323,2,123,323,true,
15242,49202,361,49931,485,2,128,485,5,187,485,true,
549,46890,315,43948,292,2,117,292,2,117,292,true,
12430,35682,149,21431,262,2,106,262,2,131,262,true,
46604,49595,353,49349,568,2,139,568,2,153,568,true,
17005,39211,72,10935,167,1,56,167,2,105,167,true,
2854,19012,259,35903,274,2,101,274,2,148,274,true,
9268,10269,47,7480,155,2,97,155,2,120,155,true,
11856,33745,345,48108,415,2,135,415,2,170,415,true,
41152,25351,221,31098,388,2,104,388,2,131,388,true,
20269,49016,52,8057,147,1,56,147,2,125,147,true,
14927,10437,198,28322,281,2,121,281,1,121,281,true,
46522,26827,290,41099,428,2,117,428,2,135,428,true,
42127,37072,225,32814,417,2,131,417,2,173,417,true,
4153,23533,243,32935,249,2,82,249,2,104,249,true,
32695,34174,319,45006,503,1,71,503,2,146,503,true,
24055,596,126,18744,274,2,97,274,2,137,274,true,
10624,48452,106,15565,190,2,98,190,2,112,190,true,
45096,9593,197,28620,379,2,93,379,2,182,379,true,
40042,16834,310,43527,457,2,127,457,11,188,457,true,
15840,13537,106,15479,252,1,97,252,2,159,252,true,
14225,31798,10,1752,91,1,37,91,1,69,91,true,
25403,20727,228,32782,364,2,124,364,2,139,364,true,
33679,38924,336,47059,474,2,121,474,2,154,474,true,
23865,37313,93,13933,214,2,81,214,2,110,214,true,
49701,46963,43,6814,206,1,58,206,1,58,206,true,
4576,4122,12,1246,45,2,45,45,2,45,45,true,
28301,45542,180,23135,315,2,63,315,2,128,315,true,
26561,7730,100,14763,259,2,89,259,2,144,259,true,
35855,36990,256,36407,398,2,101,398,2,149,398,true,
46068,37133,324,45812,498,2,141,498,2,175,498,true,
49495,23363,227,32185,422,2,161,422,5,172,422,true,
26853,41191,206,29960,370,1,74,370,2,140,370,true,
7301,37078,292,41115,346,2,94,346,2,149,346,true,
39603,24267,314,44419,491,2,112,491,2,163,491,true,
9605,7336,78,11494,153,1,38,153,2,173,153,true,
42388,39222,39,6260,165,1,47,165,2,106,165,true,
13676,42018,221,31110,303,2,102,303,5,145,303,true,
2979,45901,347,48335,395,1,96,395,2,150,395,true,
11677,30966,228,32075,321,2,138,321,2,134,321,true,
27393,2894,134,19750,286,2,107,286,2,144,286,true,
33360,23030,37,5983,141,1,60,141,2,115,141,true,
17789,8962,85,12915,220,2,107,220,2,174,220,true,
116,700,4,680,46,1,34,46,1,49,46,true,
47439,31214,312,43538,531,1,73,531,2,128,531,true,
18336,34390,187,27166,287,1,85,287,1,108,287,true,
37963,23756,251,35696,408,2,120,408,2,188,408,true,
8733,30871,58,8843,189,1,56,189,2,101,189,true,
28171,16904,254,35625,396,2,104,396,2,160,396,true,
32117,42555,325,45995,462,2,145,462,5,138,462,true,
32590,2645,114,16933,289,2,96,289,2,135,289,true,
22961,9794,14,2427,115,1,49,115,1,54,115,true,
20909,39095,26,4123,86,1,53,86,1,81,86,true,
22544,34148,41,6383,120,1,29,120,1,71,120,true,
42274,9441,62,9568,190,1,70,190,1,79,190,true,
43558,32758,72,10976,278,2,96,278,1,88,278,true,
12030,9858,1,235,26,5,28,26,1,36,26,true,
7000,22552,248,34651,304,2,119,304,2,150,304,true,
42324,24997,22,3265,102,1,70,102,1,81,102,true,
30516,25505,261,37087,411,2,102,411,2,147,411,true,
27666,20810,262,37582,384,2,105,384,2,164,384,true,
28590,23783,92,13586,241,1,71,241,2,99,241,true,
16904,29774,204,29187,292,5,83,292,2,143,292,true,
14147,5675,177,25598,299,2,144,299,2,161,299,true,
12016,30102,279,39095,366,2,112,366,2,173,366,true,
8234,22363,94,13963,172,1,75,172,2,147,172,true,
